agence_cat,ark_bnf,authnumber,type_autorite,type_entite,za001,za100,za152,za2XX,za801
BnF,BnF,1337,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1359,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1379,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1400,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1421,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1445,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1465,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1485,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1508,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1530,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1551,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1578,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1603,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1625,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1650,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1676,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1696,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1720,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1743,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1764,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1788,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1811,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1835,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1855,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1879,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1900,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1920,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,1946,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1972,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,1995,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2017,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2039,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2063,nom_geographique,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2087,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2116,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2142,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2163,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2187,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2210,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2236,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2258,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2282,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2307,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2334,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2360,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2381,nom_collectivite,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2406,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2427,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2450,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2478,matiere_nom_commun,"nom de personne",za001_ok,za100_ok,za152_ko,za2XX_ok,za801_ok
BnF,BnF,2498,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
BnF,BnF,2520,nom_personne,"nom de personne",za001_ok,za100_ok,za152_ok,za2XX_ok,za801_ok
