a|"Ressource textuelle"
b|"Ressource textuelle manuscrite"
c|"Musique notée"
d|"Musique notée manuscrite"
e|"Ressource cartographique"
f|"Ressource cartographique manuscrite"
g|"Ressource projetée ou vidéo"
i|"Enregistrement sonore non musical"
j|"Enregistrement sonore musical"
k|"Ressource graphique"
l|"Ressource électronique"
m|"Ressource multimédia"
r|"Objet"
